level,category,title,message_id
B1,literatur,Peter-Pan,115
B1,literatur,Schneewittchen-und-die-sieben-Zwerge-und-Pinocchio,116
B1,literatur,Aladin-und-Der-Rattenfanger-von-Hameln,117
B1,literatur,Pollyanna,118
B2,literatur,Der-Alchimist,119
B1,literatur,Der-Mann-ohne-Gesicht,120
C1,literatur,Hundeherz-Michail-Bulgakow,121
C1,literatur,Die-Verwandlung-Franz-Kafka,122
C1,literatur,Die-Verwandlung-Franz-Kafka-Audio,123
B2,literatur,Mein-Onkel-Franz-Erich-Kastner,124
C1,literatur,Alexander-Puschkin-Romane-und-Novellen,125
C1,literatur,Sternstunden-der-Menschheit-Stefan-Zweig,126
C1,literatur,Gesammelte-Werke-Victor-Hugo,127
C1,literatur,Eugen-Onegin-Alexander-Puschkin,128
C1,literatur,Konigin-Margot-Alexandre-Dumas,129
C1,literatur,Der-Kaufmann-von-Venedig-Shakespeare,130
C1,literatur,Der-Spieler-Dostojewski,131
C1,literatur,Kabale-und-Liebe,132
C1,literatur,Die-Leiden-des-jungen-Werther,133
B1,literatur,Willkommen-im-Kinder-Marchenland,134
C1,literatur,Die-Rauber,135
B2,literatur,Der-Weg-zuruck,136
B2,literatur,Das-spate-Leben,137
B2,literatur,Das-spate-Leben-EPUB,138
C1,literatur,Abschiedsfarben-EPUB,139
C1,literatur,Abschiedsfarben,140
